Date;Average Temperature (°C);Min Temperature (°C);Max Temperature (°C);Precipitation (mm);Wind Speed (km/h);Pressure (hPa);Sunshine Duration (h)
01.01.2018;06. Mai;04. Feb;08. Aug;86.7;15.0;1012.3;1554.0
01.02.2018;0.7;-2.2;04. Mrz;20. Jan;13.0;1017.4;8190.0
01.03.2018;05. Jul;2.0;09. Aug;68.3;14. Jun;1004.0;6342.0
01.04.2018;14. Jan;08. Mai;19. Apr;66.8;11. Sep;1011.4;10590.0
01.05.2018;17. Sep;11. Mai;24. Jan;39.1;10. Jun;1015.3;16410.0
01.06.2018;19. Mrz;14. Jun;24. Feb;63.4;10. Mai;1016.9;12000.0
01.07.2018;23. Jan;16. Mai;29. Jun;07. Feb;09. Aug;1015.1;17862.0
01.08.2018;21. Apr;15. Jul;27. Mrz;39.0;11. Mrz;1016.0;14808.0
01.09.2018;16. Apr;11. Feb;22. Apr;45.8;09. Jul;1020.3;11466.0
01.10.2018;12. Sep;08. Mrz;17. Aug;25. Mai;11. Jan;1017.1;8742.0
01.11.2018;07. Sep;04. Aug;11. Feb;30. Sep;13.0;1016.4;4470.0
01.12.2018;06. Feb;03. Jun;08. Jun;103.2;13. Mrz;1018.6;2040.0
01.01.2019;3.0;0.7;5.0;95.4;14. Mai;1016.2;2280.0
01.02.2019;06. Sep;02. Mai;12. Jan;34.3;12. Mrz;1023.1;7680.0
01.03.2019;08. Jul;04. Aug;12. Aug;79.7;15. Sep;1017.6;5940.0
01.04.2019;12. Jan;06. Jul;17. Jun;31.4;11. Sep;1015.0;11820.0
01.05.2019;12. Mai;07. Sep;17. Apr;76.0;11.0;1016.0;9960.0
01.06.2019;21. Mrz;15. Feb;27.0;40.3;11. Jul;1015.9;18600.0
01.07.2019;20. Jul;15. Mrz;26. Aug;21. Mrz;10. Mai;1015.9;13140.0
01.08.2019;20. Jul;15. Mrz;26. Jul;33.5;10. Jan;1016.2;13740.0
01.09.2019;16.0;11. Apr;21. Feb;33.1;10. Jul;1019.0;8580.0
01.10.2019;12. Jun;09. Aug;15. Sep;99.2;11. Aug;1014.2;4620.0
01.11.2019;06. Sep;04. Jan;09. Aug;91.8;11. Sep;1004.9;2640.0
01.12.2019;06. Feb;03. Jul;08. Jun;66.5;14.0;1013.2;3060.0
01.01.2020;05. Sep;03. Feb;08. Mai;35.9;13. Mrz;1023.6;2700.0
01.02.2020;07. Apr;04. Jan;10. Apr;116.4;19. Jul;1014.3;3000.0
01.03.2020;08. Jan;4.0;12. Jun;66.2;15. Apr;1017.7;10860.0
01.04.2020;13. Mrz;06. Mai;20.0;17. Jul;12.0;1017.6;17400.0
01.05.2020;14. Jun;08. Jan;20. Jul;11. Mai;11. Apr;1020.8;17580.0
01.06.2020;19. Jan;13. Sep;24. Apr;48.3;10. Aug;1013.3;11760.0
01.07.2020;19. Feb;14. Jan;24. Mai;58.2;10. Sep;1016.9;12840.0
01.08.2020;22. Jan;17. Feb;27. Sep;47.7;11. Jan;1013.3;11520.0
01.09.2020;16. Aug;11. Mai;22. Sep;59.8;10. Jan;1016.5;12420.0
01.10.2020;12. Mrz;09. Aug;15. Feb;73.5;12. Sep;1011.7;2460.0
01.11.2020;9.0;05. Aug;12. Jun;37.6;12. Mrz;1023.6;6300.0
01.12.2020;06. Jan;03. Sep;08. Jan;74.5;13. Mrz;1007.3;2040.0
01.01.2021;03. Apr;01. Mai;05. Jun;97.1;12.0;1011.6;900.0
01.02.2021;05. Mai;2.0;09. Apr;47.5;13. Mai;1018.7;7080.0
01.03.2021;07. Jun;03. Feb;12. Apr;47.5;12. Aug;1022.0;9360.0
01.04.2021;07. Sep;3.0;12. Aug;37.0;10. Aug;1020.2;10740.0
01.05.2021;12. Mai;8.0;17. Mrz;72.8;12. Aug;1012.1;9240.0
01.06.2021;20. Jul;15. Apr;25. Sep;118.8;09. Mrz;1017.3;14160.0
01.07.2021;19. Mrz;15. Jan;23. Sep;234.9;09. Jul;1014.8;9360.0
01.08.2021;17. Aug;14.0;22. Apr;66.6;10. Sep;1016.1;8100.0
01.09.2021;17. Feb;12. Jun;22. Mai;21. Mrz;08. Apr;1019.2;11280.0
01.10.2021;11. Aug;07. Aug;16. Apr;60.6;12. Aug;1018.2;6900.0
01.11.2021;06. Jul;03. Aug;09. Feb;32.9;09. Mai;1016.4;3114.0
01.12.2021;05. Sep;03. Jun;8.0;77.5;12.0;1014.6;1908.0
01.01.2022;04. Sep;02. Jul;06. Aug;79.7;12. Aug;1024.9;1794.0
01.02.2022;06. Sep;03. Mrz;10. Apr;64.0;19. Jan;1017.0;4800.0
01.03.2022;08. Jun;3.0;14. Feb;25. Aug;12.0;1023.2;14346.0
01.04.2022;10. Jul;05. Jul;15. Jun;45.7;12. Sep;1015.0;11436.0
01.05.2022;16. Mai;10. Sep;22. Jun;60.9;10. Jul;1018.2;14658.0
01.06.2022;19. Apr;13. Jun;25. Feb;72.8;08. Aug;1016.1;15936.0
01.07.2022;20. Aug;15. Feb;26. Mai;28. Sep;10. Jun;1020.4;15462.0
01.08.2022;22. Jul;16. Apr;28. Sep;11. Jul;09. Apr;1017.0;16782.0
01.09.2022;15. Aug;11. Sep;20. Jun;127.9;10. Apr;1013.0;9414.0
01.10.2022;14. Apr;10. Mai;19. Jan;36.0;11. Apr;1018.5;7434.0
01.11.2022;09. Jul;7.0;12. Jul;68.4;13. Mai;1013.0;4890.0
01.12.2022;04. Mrz;01. Sep;06. Jun;66.6;12.0;1014.4;1890.0
01.01.2023;05. Aug;03. Jun;07. Sep;71.7;16. Feb;1016.2;1668.0
